,M
2110,-1201
2111,-641
2112,-207
2113,-276
2114,-293
2115,-247
2116,-273
2117,89
2118,353
2119,588
2120,431
2121,206
2122,697
2123,1290
2124,1348
2125,1283
2126,1358
2127,923
2128,335
2129,509
2130,782
2131,1073
2132,1235
2133,1177
2134,1472
2135,1868
2136,2358
2137,2859
2138,3100
2139,2877
2140,2712
2141,2655
2142,2220
2143,1812
2144,1664
2145,1965
2146,2471
2147,3021
2148,3319
2149,2849
2150,2809
2151,3220
2152,3336
2153,3622
2154,4074
2155,4027
2156,3428
2157,2890
2158,2563
2159,2176
2160,1949
2161,1827
2162,1334
2163,795
2164,8
2165,-165
2166,167
2167,359
2168,892
2169,1577
2170,1765
2171,1178
2172,797
2173,1131
2174,743
2175,-140
2176,-643
2177,-1227
2178,-1449
2179,-1330
2180,-1271
2181,-1038
2182,-850
2183,-550
2184,-331
2185,-521
2186,-1107
2187,-1197
2188,-1103
2189,-1053
2190,-797
2191,-302
2192,236
2193,674
2194,849
2195,1009
2196,1413
2197,1521
2198,1161
2199,586
2200,711
2201,341
2202,-452
2203,-837
2204,-938
2205,-854
2206,-2010
2207,-1456
2208,2466
2209,3495
2210,1619
2211,2026
2212,1864
2213,1562
2214,1492
2215,1184
2216,1366
2217,1161
2218,871
2219,830
2220,792
2221,805
2222,1040
2223,1054
2224,651
2225,291
2226,-12
2227,1
2228,281
2229,261
2230,182
2231,299
2232,328
2233,284
2234,223
2235,446
2236,673
2237,623
2238,739
2239,792
2240,687
2241,711
2242,561
2243,119
2244,-634
2245,-1159
2246,-1463
2247,-1669
2248,-1270
2249,-900
2250,-766
2251,-1059
2252,-1757
2253,-2056
2254,-1858
2255,-1554
2256,-1123
2257,-902
2258,-1004
2259,-1221
2260,-1380
2261,-1334
2262,-1309
2263,-1458
2264,-1657
2265,-1406
2266,-1211
2267,-1524
2268,-1968
2269,-2082
2270,-1585
2271,-890
2272,-803
2273,-652
2274,-546
2275,-617
2276,-200
2277,186
2278,416
2279,77
2280,-153
2281,-108
2282,-763
2283,-1192
2284,-1262
2285,-839
2286,145
2287,1134
2288,1883
2289,2133
2290,1948
2291,1323
2292,1250
2293,1735
2294,1660
2295,1307
2296,547
2297,-242
2298,-750
2299,-496
2300,136
2301,70
2302,-99
2303,-213
2304,-256
2305,-36
2306,-4
2307,192
2308,664
2309,716
2310,778
2311,625
2312,30
2313,25
2314,811
2315,1489
2316,1787
2317,1910
2318,1587
2319,950
2320,585
2321,-41
2322,-586
2323,-589
2324,-620
2325,-98
2326,185
2327,-244
2328,-502
2329,-986
2330,-1399
2331,-1727
2332,-1868
2333,-1636
2334,-1439
2335,-1400
2336,-1643
2337,-1352
2338,-786
2339,-701
2340,-185
2341,338
2342,642
2343,702
2344,-49
2345,-1097
2346,-2142
2347,-2616
2348,-2443
2349,-1962
2350,-1489
2351,-1372
2352,-1210
2353,-707
2354,-145
2355,264
2356,259
2357,141
2358,193
2359,72
2360,423
2361,800
2362,1048
2363,1032
2364,297
2365,-533
2366,-1064
2367,-1362
2368,-1421
2369,-996
2370,-630
2371,-863
2372,-1050
2373,-1273
2374,-1413
2375,-791
2376,421
2377,1565
2378,2117
2379,1928
2380,1313
2381,1031
2382,781
2383,231
2384,-499
2385,-167
2386,686
2387,1552
2388,2955
2389,3166
2390,2949
2391,2581
2392,1359
2393,-167
2394,-1446
2395,-1501
2396,-1142
2397,-904
2398,-349
2399,361
2400,1185
2401,2077
2402,2449
2403,2508
2404,2354
2405,1864
2406,1711
2407,1605
2408,1512
2409,1317
2410,895
2411,345
2412,-356
2413,-995
2414,-1270
2415,-1066
2416,-657
2417,-252
2418,203
2419,269
2420,401
2421,507
2422,684
2423,1346
2424,1691
2425,1184
2426,876
2427,593
2428,53
2429,-73
2430,239
2431,483
2432,342
2433,2
2434,-399
2435,-425
2436,-536
2437,-516
2438,-142
2439,164
2440,677
2441,1267
2442,1481
2443,1252
2444,892
2445,831
2446,921
2447,551
2448,-336
2449,-887
2450,-833
2451,-663
2452,-165
2453,-32
2454,-550
2455,-846
2456,-795
2457,-516
2458,-191
2459,14
2460,275
2461,738
2462,1084
2463,988
2464,531
2465,68
2466,-323
2467,-421
2468,-303
2469,-560
2470,-652
2471,-786
2472,-1069
